revenue,profit,expenses,assets,growth_rate,new_customers,market_share,expansion_idx,cust_satisfaction,retention_rate,nps_score,support_rating,efficiency,uptime_pct,throughput,error_rate,overall_score,valuation,risk_index,random_metric
504.37,103.13,403.1,1004.31,12.78,207.0,19.31,55.27,75.77,80.51,50.28,3.36,61.59,96.08,301.47,4.11,74.81,807.82,52.44,24.59
506.96,107.4,407.46,1012.86,7.68,205.61,19.05,53.63,76.21,81.38,51.19,4.61,52.78,92.01,295.09,7.45,71.85,810.95,56.27,35.83
502.24,104.06,402.69,1002.44,11.63,208.68,19.49,58.02,74.93,78.65,49.11,4.88,67.26,100.9,309.92,-0.95,78.88,805.49,46.5,14.0
512.63,109.16,412.64,1012.93,6.6,200.26,16.84,49.41,73.13,78.61,49.28,3.21,54.15,92.16,294.34,7.08,70.37,807.58,48.53,29.47
511.92,110.25,408.91,1009.47,9.53,204.95,18.96,54.87,77.19,83.56,52.12,6.25,52.47,88.52,286.54,10.86,75.25,810.22,56.38,26.6
504.77,102.71,402.46,1001.43,-0.14,195.12,13.78,46.13,73.1,78.61,49.04,1.62,60.7,94.81,297.08,5.77,68.85,800.55,54.98,34.96
491.73,92.22,392.4,991.12,3.61,197.11,12.42,48.37,80.07,84.85,54.44,9.03,59.27,94.33,298.19,7.46,71.2,790.99,49.21,24.12
500.1,100.09,398.27,1002.3,-0.36,194.28,11.11,43.07,75.53,82.42,51.42,4.0,52.8,91.26,292.35,8.68,67.51,793.51,52.1,24.56
502.51,100.1,400.59,997.94,14.28,212.26,23.37,62.82,74.92,81.95,51.14,4.74,62.98,98.82,308.28,1.33,78.37,804.97,48.74,19.5
498.54,99.92,398.29,994.89,5.97,200.9,17.27,52.48,80.2,86.44,55.63,10.58,52.31,89.64,293.32,10.43,71.5,803.98,57.34,26.18
505.01,103.54,406.12,1006.54,13.15,209.4,21.55,56.0,75.97,83.24,52.42,5.77,58.21,94.61,301.07,4.95,76.12,806.71,50.78,21.79
489.86,91.75,391.44,989.33,5.35,203.67,15.31,51.18,73.18,78.23,50.07,4.08,68.3,100.72,310.63,-1.86,71.72,788.67,46.4,18.76
503.86,101.63,403.73,1005.77,-2.39,188.13,8.12,41.56,74.13,78.8,47.88,3.52,60.03,95.61,301.69,4.11,69.51,798.43,46.5,24.62
512.73,108.86,410.89,1013.08,6.01,200.89,15.45,48.97,72.13,73.92,46.48,0.08,61.05,95.91,299.28,4.62,71.5,807.23,49.74,31.85
505.27,102.3,403.67,1002.61,2.23,195.83,12.93,47.49,79.03,85.07,53.46,6.28,60.68,96.11,299.79,4.19,74.58,803.71,47.36,18.84
509.58,107.79,408.75,1010.95,7.54,202.69,16.78,53.48,76.32,79.56,51.97,5.26,69.17,101.32,311.15,-2.36,82.58,811.88,45.42,20.94
497.33,99.11,397.46,995.75,5.72,199.36,16.52,51.69,79.98,85.22,54.59,9.45,58.38,95.46,302.7,6.09,72.6,800.04,52.33,32.42
507.73,104.16,408.56,1011.76,2.31,196.43,13.97,49.21,69.35,73.25,44.01,0.38,59.79,95.36,300.16,3.26,69.9,808.8,48.38,24.8
495.86,94.99,397.35,994.46,9.78,204.19,18.32,52.41,76.84,83.32,50.53,4.91,55.54,91.86,294.89,7.95,70.18,800.89,55.6,28.85
499.63,99.21,396.5,998.7,-1.94,189.62,9.13,44.12,77.65,81.94,51.71,5.21,59.41,95.56,301.22,5.63,66.92,795.28,43.64,16.11
505.27,103.39,403.99,1000.67,5.98,204.41,16.34,53.42,72.21,76.21,49.6,3.09,61.47,96.31,300.94,4.08,73.38,804.75,54.74,23.31
496.1,97.23,394.98,992.92,8.32,201.53,16.82,51.53,74.27,81.05,49.72,4.43,68.72,101.73,311.07,-2.32,74.26,795.92,41.45,18.68
506.78,103.43,405.66,1005.91,3.45,197.09,13.4,49.22,74.43,78.87,50.29,4.02,66.39,100.76,311.2,0.17,74.17,800.02,43.59,30.33
518.67,110.01,416.72,1015.73,4.72,198.62,12.92,47.92,76.58,80.91,51.38,4.93,57.79,94.29,294.49,6.51,73.82,808.38,41.35,31.73
499.99,100.17,399.7,1002.34,3.08,197.32,15.37,49.52,75.82,83.22,50.16,3.88,50.79,89.29,288.55,12.27,65.08,797.56,60.24,36.16
499.86,100.95,399.27,999.87,11.07,210.85,22.0,58.34,71.45,76.85,47.78,2.75,60.98,95.48,304.29,3.87,69.77,806.53,69.06,43.25
493.89,95.12,394.56,993.28,-1.96,192.8,9.7,42.75,72.93,78.62,47.96,2.23,61.17,97.48,300.91,4.11,64.72,792.12,49.59,28.8
510.13,103.67,408.12,1014.34,2.9,198.66,16.08,47.55,69.79,73.34,43.79,-1.59,56.83,93.97,297.45,4.6,68.9,808.61,53.72,34.99
504.31,101.42,403.6,1004.56,-5.62,186.72,7.5,42.98,74.87,80.07,49.16,3.66,65.39,99.01,306.01,0.77,69.33,799.11,50.99,32.59
504.13,104.02,404.63,1003.53,5.98,202.74,14.93,54.2,71.52,74.74,46.17,-0.69,58.43,92.43,295.13,8.94,68.44,803.7,53.36,23.91
503.66,102.69,403.88,1006.72,9.88,200.22,19.18,54.13,73.58,77.66,47.26,3.64,54.3,91.87,293.62,7.16,69.56,805.03,49.47,24.55
492.55,93.79,392.42,988.12,7.18,203.25,17.63,53.23,67.9,73.24,43.46,-3.82,57.47,93.13,296.82,6.46,59.78,795.85,59.61,29.45
512.55,109.11,410.61,1011.06,3.51,199.22,14.65,49.37,77.87,83.53,52.09,6.91,58.74,93.56,299.23,6.45,77.5,806.4,44.4,24.01
492.68,97.56,394.67,995.23,10.33,208.51,19.75,57.46,78.13,84.38,53.0,5.86,63.25,95.79,301.93,2.92,74.09,803.26,68.37,44.64
499.81,99.59,398.62,999.49,7.19,203.85,17.8,52.81,76.24,81.81,51.49,6.7,57.68,93.72,297.07,5.51,69.23,803.58,62.16,39.5
513.69,110.32,411.76,1012.5,-2.36,192.92,10.09,40.7,72.69,77.42,48.2,3.99,63.52,96.45,302.65,5.27,72.05,803.84,45.84,30.41
490.56,93.0,390.66,987.08,-6.02,183.97,6.35,38.87,69.54,71.22,44.61,-1.55,59.71,94.97,298.4,4.05,56.26,779.73,48.16,32.75
503.13,103.35,404.37,1005.2,3.43,194.08,11.65,46.73,70.04,75.1,46.37,1.5,52.98,89.31,290.93,11.12,62.22,800.5,54.6,23.77
503.41,102.11,402.91,1005.64,9.71,204.57,18.24,54.28,77.86,83.0,51.95,7.07,59.4,94.78,302.34,7.08,75.6,807.85,58.34,36.86
498.55,97.34,400.08,999.22,2.31,196.85,11.8,46.08,74.3,77.76,47.89,2.19,58.06,92.99,299.68,7.4,63.3,794.97,42.89,27.36
500.78,100.98,399.47,1002.52,6.73,201.92,15.13,52.19,75.38,79.91,49.17,2.87,58.04,92.79,292.64,5.77,70.51,804.81,53.59,23.67
513.43,108.37,411.71,1018.95,4.57,199.04,14.08,50.44,72.72,78.62,48.26,3.99,58.23,93.46,294.93,6.79,72.98,809.35,48.45,25.14
488.71,88.8,389.81,990.64,5.17,200.96,14.76,49.65,75.2,78.54,50.31,3.6,66.77,100.04,309.12,0.2,71.03,792.18,52.42,29.42
506.26,107.61,406.46,1010.47,0.64,196.89,13.15,46.75,77.44,82.03,51.79,5.0,56.5,92.18,293.58,8.45,70.41,800.01,48.14,21.77
501.41,102.96,401.74,1003.68,-1.49,195.53,11.38,45.42,81.69,87.88,56.21,10.05,62.75,96.31,302.82,3.11,77.92,795.97,36.87,17.6
503.84,104.41,403.39,1003.7,2.16,195.94,13.62,47.73,74.76,80.86,50.62,4.1,59.93,96.64,299.39,2.89,71.54,804.59,45.82,20.83
482.97,88.8,383.77,980.05,0.42,194.37,9.88,45.42,77.39,82.18,51.82,5.75,64.13,99.13,308.02,-0.06,67.49,784.99,54.77,35.73
515.44,110.78,412.92,1019.49,-3.66,189.25,7.38,40.33,78.62,83.82,51.83,6.4,52.75,88.55,289.55,12.12,68.07,803.43,50.06,36.93
501.25,100.35,401.84,1001.02,0.84,193.43,11.12,43.1,81.5,90.53,55.99,9.02,63.71,96.69,301.29,2.17,74.02,795.86,34.36,12.07
501.98,102.4,403.12,1005.11,1.01,197.14,11.45,48.4,75.83,80.71,49.22,5.21,57.67,93.3,296.44,5.91,69.56,800.77,53.58,39.36
487.36,91.89,388.44,988.32,7.16,202.11,16.67,52.29,80.83,85.87,56.06,11.02,57.82,92.39,298.81,7.68,71.91,795.73,55.92,19.68
500.82,102.0,401.13,1001.09,3.06,195.02,12.49,47.0,76.76,80.28,50.64,5.71,62.59,94.93,300.45,6.37,71.42,798.33,43.22,16.93
513.24,109.82,412.33,1014.39,8.46,205.14,19.13,56.79,73.93,79.62,48.81,2.94,55.73,93.95,296.18,7.68,73.51,806.5,48.86,14.62
508.81,109.19,408.72,1010.71,5.6,198.7,15.05,47.78,77.52,81.28,51.5,4.73,58.45,94.31,300.45,5.36,74.7,805.24,50.8,22.22
497.4,101.43,396.59,1002.4,8.8,205.24,18.31,53.03,74.86,81.3,50.3,2.81,64.56,96.9,303.82,2.63,74.15,800.38,54.79,26.71
497.43,100.8,398.68,994.94,1.5,192.31,11.26,44.35,71.53,77.33,47.62,-0.18,56.81,92.81,298.33,7.59,61.81,792.41,46.8,23.13
506.33,104.26,406.67,1008.37,2.14,199.31,15.47,47.99,80.41,85.03,54.87,7.95,67.5,101.95,311.24,-0.62,83.02,800.99,42.42,29.05
488.46,93.5,391.51,984.65,3.48,201.31,14.5,47.29,73.55,78.14,50.23,3.68,53.86,90.24,291.27,9.96,61.35,791.35,52.36,30.91
503.47,103.33,399.53,1004.36,1.27,197.89,14.09,48.99,73.28,78.78,47.81,0.97,56.44,92.73,297.46,6.43,67.34,801.33,57.02,30.2
498.25,99.5,398.65,1000.07,-0.76,192.82,10.85,47.18,73.77,78.55,49.3,3.47,63.28,97.15,304.23,0.91,68.55,793.66,43.84,22.36
503.49,103.84,406.78,1000.65,11.07,202.91,16.83,52.49,77.83,83.21,51.81,5.73,64.84,99.49,308.88,0.6,76.93,804.02,43.16,22.03
509.44,106.24,407.32,1012.44,1.35,195.82,12.23,46.21,74.86,77.04,48.79,0.76,64.36,99.59,304.05,0.53,72.9,805.04,47.33,26.94
501.71,99.93,401.38,1003.21,-1.94,190.61,10.66,44.27,76.71,82.51,51.61,7.09,54.47,93.74,297.24,6.79,66.59,796.79,42.26,20.81
495.95,93.63,395.84,994.79,6.66,200.78,16.45,52.48,68.4,73.6,42.84,-2.97,62.65,95.97,300.4,3.56,65.18,799.51,53.2,18.38
496.82,96.86,395.4,992.92,8.11,204.24,19.39,54.59,78.15,83.36,51.42,5.0,58.87,92.99,300.93,6.9,68.89,796.47,51.47,27.43
505.31,100.42,404.12,1005.68,-1.21,191.55,8.82,42.78,75.78,79.73,48.48,3.62,58.61,94.27,297.28,6.63,67.33,796.53,46.09,22.13
501.71,99.08,402.49,1003.5,3.53,201.34,14.7,51.88,79.21,85.63,53.82,6.47,58.84,95.75,299.23,4.47,72.34,802.45,47.35,18.31
489.35,93.37,392.59,989.56,7.92,204.57,17.71,52.97,75.46,82.15,51.01,5.47,63.79,99.77,306.41,0.71,74.55,799.19,48.83,17.18
500.12,100.61,400.51,1000.52,5.53,200.64,15.74,50.69,74.18,79.33,49.73,4.11,59.55,95.03,299.55,4.54,70.34,800.0,44.75,20.52
506.21,106.86,404.06,1008.26,7.71,203.09,19.2,52.76,78.59,85.11,53.37,6.17,69.33,101.58,311.09,-1.77,82.36,807.24,41.89,24.28
501.47,96.92,398.64,998.29,3.06,197.31,14.27,51.43,80.53,86.84,55.71,10.27,53.56,89.83,295.31,10.41,72.93,799.28,52.7,22.77
486.94,92.0,389.9,985.5,-8.26,186.1,4.51,37.13,69.17,72.41,43.41,-4.28,52.52,91.03,292.23,8.87,49.02,781.79,54.38,30.5
491.97,93.06,396.23,991.69,3.75,196.62,13.47,48.53,70.59,75.44,45.7,-0.16,61.65,96.0,300.69,3.26,63.13,793.28,46.44,20.82
511.35,106.93,407.84,1012.25,0.89,193.52,10.97,44.8,72.58,77.58,47.42,2.25,60.91,96.44,299.53,5.55,71.12,800.19,45.57,27.57
510.79,104.86,410.87,1010.23,5.43,198.06,15.96,48.4,70.91,74.6,46.37,-0.96,58.22,93.56,296.65,6.45,65.64,810.24,47.32,24.72
505.98,104.43,405.9,1005.25,7.94,204.67,16.7,51.73,75.42,79.94,49.38,3.33,63.6,97.99,303.59,3.02,77.27,805.82,45.9,24.63
498.47,97.5,398.14,996.03,6.87,200.37,14.24,51.52,79.87,86.42,53.65,7.58,61.37,94.4,300.19,5.39,72.26,796.74,48.58,22.01
491.35,95.29,390.73,990.47,9.6,205.38,17.52,53.99,73.74,76.77,47.2,3.02,61.43,96.94,300.75,4.77,68.4,796.6,46.47,11.71
508.05,105.52,407.33,1007.3,-1.41,194.68,8.97,43.98,71.16,77.39,47.85,0.85,64.79,98.23,308.01,1.91,70.84,798.26,36.12,28.73
499.55,99.98,399.55,996.35,4.01,197.93,16.35,50.97,71.74,74.57,46.42,0.91,64.14,99.47,305.51,0.75,69.45,797.02,55.5,32.65
482.01,87.58,385.8,980.19,-1.9,193.11,9.48,41.06,76.88,81.25,52.57,5.53,55.06,91.49,294.8,9.08,60.62,780.71,52.02,31.89
500.94,101.42,399.53,1000.39,8.49,203.27,19.17,53.83,73.83,78.7,49.5,1.9,60.86,95.27,301.82,5.0,70.31,801.3,50.13,22.83
510.93,108.64,408.94,1009.44,4.32,196.74,14.05,47.42,76.9,80.49,50.1,4.77,57.47,93.8,297.96,5.3,71.77,801.79,46.29,25.16
498.03,100.74,399.32,996.79,5.48,200.39,14.51,48.75,73.51,76.74,46.21,1.1,62.35,97.84,302.44,2.1,66.8,800.88,53.88,32.1
499.79,102.73,398.48,1002.54,8.91,203.64,18.81,55.02,78.37,84.49,52.74,6.17,63.98,98.33,304.56,0.3,74.05,808.05,49.41,24.07
502.64,102.62,402.16,1002.2,7.2,208.51,18.15,55.63,75.32,79.74,50.02,4.05,57.76,91.43,295.73,9.37,69.86,804.61,52.97,31.7
483.76,89.64,384.42,981.28,5.19,198.29,14.77,48.36,76.31,80.47,50.5,5.48,63.04,99.02,304.96,2.57,67.25,788.92,51.59,29.75
504.99,104.61,408.01,1006.27,3.78,197.61,14.72,48.49,72.29,74.4,46.6,0.76,53.75,90.65,291.5,8.52,68.73,804.52,48.53,24.37
489.47,91.34,391.13,987.21,9.91,204.12,17.57,55.04,75.04,78.47,49.71,2.23,62.03,96.8,303.06,3.16,66.25,796.58,54.55,22.67
508.33,107.0,407.9,1010.11,10.78,207.27,19.82,55.85,72.66,77.75,47.6,1.54,59.24,94.21,297.61,6.27,71.63,809.85,48.82,27.62
487.52,90.97,388.67,982.75,6.71,204.16,17.4,53.77,79.4,85.17,52.89,8.14,59.36,95.18,300.86,4.6,72.23,793.42,52.15,27.62
508.91,105.3,407.22,1010.28,-7.17,185.17,6.38,38.04,76.92,80.55,49.82,4.31,61.5,95.14,302.39,4.58,69.99,794.05,38.07,22.12
512.18,107.65,407.87,1010.32,9.17,206.78,18.17,53.68,73.97,78.94,49.16,2.06,59.34,95.22,300.16,5.57,74.02,809.89,47.76,25.34
496.75,96.58,395.96,993.72,-1.66,194.65,9.19,43.72,79.87,85.42,53.22,8.44,65.64,98.16,305.08,1.88,68.85,793.64,46.37,25.34
492.48,92.0,392.46,987.67,15.74,210.37,23.5,60.55,81.53,86.62,55.63,9.2,61.47,94.7,300.35,4.82,77.46,798.88,53.57,20.71
494.07,94.17,393.98,992.6,6.65,205.83,16.46,52.5,71.75,75.79,47.16,0.62,58.91,94.92,299.2,6.8,65.16,797.11,58.94,37.44
486.34,92.8,388.18,985.46,13.64,211.33,21.91,59.3,79.43,86.12,54.88,8.94,54.97,91.94,294.07,9.68,71.91,797.8,52.93,6.76
497.3,96.57,397.99,1000.01,-2.42,194.82,9.66,42.62,76.0,79.7,47.13,4.42,49.45,88.0,285.7,12.9,61.31,790.09,52.11,27.04
513.47,111.61,413.41,1016.27,0.55,194.26,11.83,44.73,75.01,78.76,49.65,3.49,54.48,90.9,292.08,9.21,66.67,805.64,47.68,25.11
497.81,99.63,399.11,998.9,14.52,212.07,22.05,61.55,76.92,80.23,49.75,3.58,57.58,93.42,298.6,6.26,74.35,807.55,59.22,26.55
497.51,99.38,395.51,996.05,-1.96,191.57,9.19,41.92,75.69,82.15,51.87,5.76,59.44,95.15,299.01,5.43,64.37,794.65,48.72,22.02
501.75,105.24,402.9,1001.23,2.14,197.8,13.82,48.42,77.55,82.41,51.58,6.37,66.45,99.92,306.57,0.4,73.79,799.24,39.49,18.11
513.5,111.91,414.11,1014.8,3.01,201.44,14.1,48.12,72.44,77.79,47.64,1.78,68.42,101.89,313.81,-1.95,78.79,804.47,41.75,27.02
511.63,111.34,409.83,1010.55,8.33,202.9,19.35,53.9,69.45,74.42,45.9,-1.33,59.96,95.51,298.07,5.04,71.97,809.97,49.76,22.44
489.44,94.03,390.74,991.17,-3.0,188.97,7.88,40.33,76.28,83.18,50.13,4.57,62.85,96.82,302.7,3.74,61.73,784.85,47.88,27.22
497.75,99.04,399.3,995.15,0.33,196.82,11.88,46.23,73.01,74.22,48.08,1.22,56.5,93.94,299.92,7.87,63.04,795.64,46.72,14.36
500.94,97.29,401.06,998.11,5.15,199.48,16.03,52.03,72.46,75.79,46.82,1.92,56.85,93.5,298.86,5.94,65.47,797.27,46.93,19.64
499.81,100.41,400.66,996.06,9.1,199.87,17.44,51.99,76.32,81.26,50.4,4.25,60.22,96.37,301.26,2.83,70.8,800.37,43.38,20.22
496.43,95.49,396.4,996.64,4.55,203.63,15.92,51.22,77.03,83.23,52.38,5.24,52.89,91.19,288.85,8.98,66.81,801.17,55.06,27.05
508.78,107.72,407.28,1009.73,3.34,197.84,13.48,49.36,74.95,78.8,49.39,4.1,61.95,97.07,301.86,3.91,74.87,803.56,46.15,20.72
505.8,103.74,405.02,1006.31,5.57,201.38,14.97,51.26,75.94,79.22,50.29,5.85,60.46,92.63,296.12,6.03,71.23,803.36,49.03,31.23
510.24,106.03,407.46,1012.75,3.35,197.37,12.83,48.82,74.97,80.14,49.66,4.98,56.85,93.62,298.11,5.16,71.58,804.04,51.41,25.59
493.82,97.25,393.75,991.01,8.34,206.06,17.9,55.67,73.52,77.98,48.46,1.29,56.23,91.43,292.72,8.77,62.19,801.56,57.45,25.2
502.78,101.16,401.52,1000.63,7.34,201.39,15.45,50.3,76.94,82.99,53.66,7.11,57.39,94.15,298.21,6.59,71.86,801.36,52.52,26.13
493.73,95.7,395.43,992.42,10.65,207.62,21.9,57.6,76.77,83.24,51.75,5.61,63.28,96.82,304.08,4.79,72.02,801.3,55.59,29.12
493.34,95.36,396.81,991.81,3.83,198.78,12.54,49.14,75.43,82.22,52.37,5.06,58.4,94.93,299.87,5.15,68.8,795.45,49.16,29.92
486.95,91.31,391.45,986.23,4.45,199.96,15.33,53.31,71.73,77.65,47.78,1.19,54.28,91.16,295.1,8.79,64.01,791.86,53.38,26.53
485.67,90.64,384.73,986.28,8.62,207.22,17.63,55.16,77.09,85.56,52.2,5.19,60.02,95.41,301.63,5.11,68.88,792.49,52.43,24.22
491.93,95.79,393.36,993.87,3.87,199.23,13.94,47.37,66.76,71.43,43.16,-3.98,61.21,95.56,302.06,4.1,59.94,793.03,57.3,30.42
497.62,101.8,399.23,1000.05,2.86,196.26,13.39,47.59,75.27,81.92,50.33,4.77,61.53,95.3,302.56,4.57,69.41,798.08,52.32,27.98
499.52,97.41,400.78,997.51,1.1,192.73,11.71,47.2,73.69,78.19,48.78,1.09,61.6,95.34,300.96,4.8,63.67,801.74,53.88,35.01
497.09,97.15,399.34,994.71,0.03,192.89,11.2,45.82,72.94,77.08,46.97,1.17,51.95,89.31,290.22,11.14,60.45,796.35,54.33,30.25
488.71,93.19,390.04,987.94,-0.59,190.6,9.86,44.16,69.2,72.93,42.45,-3.42,56.52,92.02,297.33,8.26,57.08,793.28,53.22,21.21
489.01,90.0,392.64,987.67,-4.45,191.36,8.52,40.55,76.08,79.79,50.05,5.6,57.79,93.73,297.6,5.57,58.6,783.76,49.76,32.66
506.61,103.66,405.03,1003.31,4.7,199.59,14.49,50.67,71.42,75.36,47.65,0.59,57.53,93.93,299.29,4.66,67.68,807.0,52.12,22.66
496.77,96.2,395.86,995.18,-1.67,190.27,9.3,44.3,79.29,83.59,53.32,8.68,58.08,93.08,296.95,6.72,67.7,791.0,45.21,21.84
500.63,102.09,400.62,1001.19,11.28,207.28,20.03,52.73,75.82,81.46,50.7,4.02,58.53,93.63,298.84,6.54,71.87,807.01,55.67,26.01
517.26,112.28,416.22,1018.98,12.47,209.73,19.25,56.87,77.11,80.84,52.06,5.85,54.07,92.3,294.58,6.56,78.28,819.39,66.34,40.71
489.34,93.18,390.45,991.14,3.63,198.12,13.06,48.27,72.95,77.35,46.78,1.89,64.23,99.94,311.84,-0.66,65.6,794.6,49.57,22.97
488.35,91.67,391.05,986.22,5.74,201.21,15.5,51.7,77.73,81.36,50.83,5.58,58.14,93.33,296.41,4.47,67.16,791.23,50.65,20.48
493.18,94.0,394.36,990.75,2.74,199.03,13.0,46.98,73.49,78.62,50.13,3.95,58.11,92.73,298.71,6.16,63.21,793.15,53.45,28.38
490.73,95.61,393.33,993.15,-2.22,189.17,7.57,42.03,71.39,78.12,47.74,1.4,64.26,98.39,306.28,1.32,64.14,783.14,41.77,24.19
520.56,113.82,416.84,1021.07,7.05,201.22,16.23,50.85,71.88,76.19,46.37,-0.07,57.67,93.61,293.21,7.95,73.05,814.55,51.29,32.37
490.45,96.16,390.34,990.92,15.44,212.12,24.83,62.74,71.56,76.6,46.52,2.03,61.24,97.15,303.83,3.13,69.61,804.83,62.37,26.43
500.12,100.39,400.87,999.14,1.71,193.82,11.84,44.46,73.74,79.81,48.17,4.55,63.29,96.08,303.88,3.48,67.21,796.82,49.73,32.19
501.35,101.32,399.78,997.46,-1.58,191.07,8.11,41.55,74.9,81.69,50.39,3.34,56.23,92.48,295.1,7.15,67.82,797.91,40.02,12.15
495.36,95.96,397.21,994.75,-2.66,192.85,8.64,42.08,76.51,82.08,50.3,6.67,70.45,100.21,311.75,-2.19,70.57,790.98,50.25,36.39
494.12,96.32,396.87,992.98,3.9,199.12,12.75,49.36,75.51,82.14,52.44,6.92,65.35,98.67,305.37,2.37,71.58,791.91,46.16,25.18
498.73,98.28,401.34,996.85,16.11,212.19,23.78,62.4,75.01,79.26,50.25,4.52,57.99,93.33,296.49,4.94,75.02,806.82,57.3,22.2
503.5,105.14,403.95,1003.26,-0.91,192.37,11.81,43.18,74.32,79.5,49.51,3.46,55.2,90.33,294.14,8.1,64.64,801.43,48.5,22.12
515.37,111.27,410.87,1016.03,9.58,204.28,17.17,55.07,75.0,78.47,49.32,3.34,55.28,92.58,294.52,7.91,77.65,810.7,48.08,23.45
507.95,105.8,406.26,1006.36,1.8,194.69,11.87,50.6,81.29,88.18,54.14,7.36,55.06,90.36,292.72,8.38,74.97,802.5,46.67,21.12
513.74,107.74,412.08,1015.06,-4.62,187.25,6.17,40.05,79.73,84.61,54.81,5.31,51.73,89.31,288.74,8.36,71.15,798.6,41.84,23.98
498.4,98.03,399.54,996.88,10.26,206.78,17.03,53.07,66.27,66.11,40.13,-5.32,53.33,89.83,290.2,11.19,58.33,805.12,57.53,21.63
500.1,98.28,398.7,994.95,2.0,197.58,10.05,46.55,74.66,78.91,49.77,3.25,57.91,91.9,292.89,7.69,67.36,795.68,48.02,23.59
493.29,96.65,392.94,987.78,5.66,200.27,15.47,49.22,75.99,80.87,52.41,4.77,65.5,100.02,306.65,1.0,74.07,797.24,45.77,17.55
498.75,98.37,396.91,996.43,5.19,197.62,15.58,51.49,73.59,77.98,48.83,2.94,61.81,95.27,300.01,4.66,68.27,796.67,43.77,15.48
503.42,100.62,401.02,1003.03,0.03,191.93,12.29,46.83,73.8,75.72,47.53,2.23,54.19,90.81,292.3,9.37,63.94,800.34,55.97,35.17
499.03,98.83,400.43,998.44,9.93,208.32,17.89,57.09,76.49,81.09,51.62,4.46,53.49,89.17,289.63,10.47,68.67,800.52,53.46,19.25
505.4,104.3,407.11,1008.98,1.22,196.37,11.47,48.33,72.78,75.28,46.87,1.56,60.25,94.97,300.13,5.81,64.72,803.48,46.59,25.09
491.88,95.51,392.41,988.56,4.84,199.09,14.93,48.32,73.84,78.99,47.85,1.17,48.82,86.91,289.72,14.82,59.38,794.32,58.39,26.54
493.85,95.64,393.9,992.48,10.92,206.73,19.9,57.35,71.94,74.87,47.23,0.6,54.64,90.17,294.8,10.86,64.65,805.23,63.95,37.9
486.1,90.61,388.17,981.92,0.52,195.53,12.85,46.37,77.54,82.06,51.14,7.02,59.89,93.89,295.93,5.12,64.33,788.03,45.9,17.01
